id,Planting,ft,Start_Date,End_Date,censored
RIJC_001,CIT,47,2011-03-24,2011-05-10,0
RIJC_002,CIT,47,2011-03-24,2011-05-10,0
RIJC_003,CIT,33,2011-03-24,2011-04-26,0
RIJC_004,CIT,44,2011-03-24,2011-05-07,0
RIJC_005,CIT,39,2011-03-24,2011-05-02,0
RIJC_006,CIT,33,2011-03-24,2011-04-26,0
RIJC_007,CIT,45,2011-03-24,2011-05-08,0
RIJC_008,CIT,36,2011-03-24,2011-04-29,0
RIJC_009,CIT,45,2011-03-24,2011-05-08,0
RIJC_012,CIT,36,2011-03-24,2011-04-29,0
RIJC_013,CIT,36,2011-03-24,2011-04-29,0
RIJC_014,CIT,38,2011-03-24,2011-05-01,0
RIJC_015,CIT,35,2011-03-24,2011-04-28,0
RIJC_016,CIT,47,2011-03-24,2011-05-10,0
RIJC_017,CIT,46,2011-03-24,2011-05-09,0
RIJC_018,CIT,43,2011-03-24,2011-05-06,0
RIJC_019,CIT,42,2011-03-24,2011-05-05,0
RIJC_020,CIT,35,2011-03-24,2011-04-28,0
RIJC_021,CIT,38,2011-03-24,2011-05-01,0
RIJC_024,CIT,47,2011-03-24,2011-05-10,0
RIJC_025,CIT,42,2011-03-24,2011-05-05,0
RIJC_026,CIT,50,2011-03-24,2011-05-13,0
RIJC_027,CIT,46,2011-03-24,2011-05-09,0
RIJC_029,CIT,34,2011-03-24,2011-04-27,0
RIJC_030,CIT,48,2011-03-24,2011-05-11,0
RIJC_031,CIT,50,2011-03-24,2011-05-13,0
RIJC_045,CIT,41,2011-03-24,2011-05-04,0
RIJC_046,CIT,42,2011-03-24,2011-05-05,0
RIJC_047,CIT,37,2011-03-24,2011-04-30,0
RIJC_048,CIT,45,2011-03-24,2011-05-08,0
RIJC_049,CIT,36,2011-03-24,2011-04-29,0
RIJC_059,CIT,45,2011-03-24,2011-05-08,0
RIJC_061,CIT,51,2011-03-24,2011-05-14,0
RIJC_062,CIT,38,2011-03-24,2011-05-01,0
RIJC_064,CIT,39,2011-03-24,2011-05-02,0
RIJC_065,CIT,41,2011-03-24,2011-05-04,0
RIJC_066,CIT,40,2011-03-24,2011-05-03,0
RIJC_067,CIT,42,2011-03-24,2011-05-05,0
RIJC_069,CIT,43,2011-03-24,2011-05-06,0
RIJC_070,CIT,43,2011-03-24,2011-05-06,0
RIJC_071,CIT,40,2011-03-24,2011-05-03,0
RIJC_072,CIT,44,2011-03-24,2011-05-07,0
RIJC_073,CIT,43,2011-03-24,2011-05-06,0
RIJC_074,CIT,35,2011-03-24,2011-04-28,0
RIJC_075,CIT,51,2011-03-24,2011-05-14,0
RIJC_076,CIT,44,2011-03-24,2011-05-07,0
RIJC_078,CIT,34,2011-03-24,2011-04-27,0
RIJC_079,CIT,41,2011-03-24,2011-05-04,0
RIJC_080,CIT,34,2011-03-24,2011-04-27,0
RIJC_081,CIT,43,2011-03-24,2011-05-06,0
RIJC_082,CIT,41,2011-03-24,2011-05-04,0
RIJC_129,CIT,45,2011-03-24,2011-05-08,0
RIJC_130,CIT,42,2011-03-24,2011-05-05,0
RIJC_131,CIT,43,2011-03-24,2011-05-06,0
RIJC_133,CIT,45,2011-03-24,2011-05-08,0
RIJC_135,CIT,49,2011-03-24,2011-05-12,0
RIJC_136,CIT,44,2011-03-24,2011-05-07,0
RIJC_137,CIT,37,2011-03-24,2011-04-30,0
RIJC_138,CIT,44,2011-03-24,2011-05-07,0
RIJC_139,CIT,44,2011-03-24,2011-05-07,0
RIJC_140,CIT,38,2011-03-24,2011-05-01,0
RIJC_141,CIT,45,2011-03-24,2011-05-08,0
RIJC_142,CIT,51,2011-03-24,2011-05-14,0
RIJC_144,CIT,47,2011-03-24,2011-05-10,0
RIJC_145,CIT,45,2011-03-24,2011-05-08,0
RIJC_146,CIT,41,2011-03-24,2011-05-04,0
RIJC_147,CIT,50,2011-03-24,2011-05-13,0
RIJC_148,CIT,44,2011-03-24,2011-05-07,0
RIJC_149,CIT,45,2011-03-24,2011-05-08,0
RIJC_151,CIT,43,2011-03-24,2011-05-06,0
RIJC_201,CIT,37,2011-03-24,2011-04-30,0
RIJC_202,CIT,49,2011-03-24,2011-05-12,0
RIJC_203,CIT,43,2011-03-24,2011-05-06,0
RIJC_204,CIT,45,2011-03-24,2011-05-08,0
RIJC_205,CIT,41,2011-03-24,2011-05-04,0
RIJC_206,CIT,43,2011-03-24,2011-05-06,0
RIJC_207,CIT,42,2011-03-24,2011-05-05,0
RIJC_208,CIT,51,2011-03-24,2011-05-14,0
RIJC_209,CIT,44,2011-03-24,2011-05-07,0
RIJC_210,CIT,42,2011-03-24,2011-05-05,0
RIJC_212,CIT,41,2011-03-24,2011-05-04,0
