"id","planting","ft"
"FA002","planting.2",43
"FA002","planting.3",14
"FA002","planting.5",52
"FA002","planting.6",32
"FA002","planting.1",NA
"FA002","planting.4",NA
"FA003","planting.2",NA
"FA003","planting.3",42
"FA003","planting.5",59
"FA003","planting.6",39
"FA003","planting.1",59
"FA003","planting.4",52
"FA004","planting.2",51
"FA004","planting.3",42
"FA004","planting.5",59
"FA004","planting.6",39
"FA004","planting.1",52
"FA004","planting.4",57
"FA005","planting.2",51
"FA005","planting.3",35
"FA005","planting.5",59
"FA005","planting.6",39
"FA005","planting.1",52
"FA005","planting.4",45
"FA007","planting.2",58
"FA007","planting.3",42
"FA007","planting.5",59
"FA007","planting.6",46
"FA007","planting.1",52
"FA007","planting.4",45
"FA009","planting.2",43
"FA009","planting.3",14
"FA009","planting.5",45
"FA009","planting.6",39
"FA009","planting.1",59
"FA009","planting.4",NA
"FA011","planting.2",58
"FA011","planting.3",42
"FA011","planting.5",45
"FA011","planting.6",39
"FA011","planting.1",52
"FA011","planting.4",45
"FA014","planting.2",NA
"FA014","planting.3",NA
"FA014","planting.5",38
"FA014","planting.6",NA
"FA014","planting.1",52
"FA014","planting.4",38
"FA016","planting.2",43
"FA016","planting.3",14
"FA016","planting.5",59
"FA016","planting.6",39
"FA016","planting.1",52
"FA016","planting.4",38
"FA017","planting.2",51
"FA017","planting.3",42
"FA017","planting.5",38
"FA017","planting.6",NA
"FA017","planting.1",52
"FA017","planting.4",38
"FA019","planting.2",43
"FA019","planting.3",NA
"FA019","planting.5",38
"FA019","planting.6",32
"FA019","planting.1",52
"FA019","planting.4",38
"FA021","planting.2",72
"FA021","planting.3",55
"FA021","planting.5",78
"FA021","planting.6",53
"FA021","planting.1",70
"FA021","planting.4",57
"FA027","planting.2",43
"FA027","planting.3",42
"FA027","planting.5",66
"FA027","planting.6",NA
"FA027","planting.1",70
"FA027","planting.4",64
"FA028","planting.2",43
"FA028","planting.3",14
"FA028","planting.5",38
"FA028","planting.6",39
"FA028","planting.1",52
"FA028","planting.4",45
"FA031","planting.2",51
"FA031","planting.3",35
"FA031","planting.5",52
"FA031","planting.6",46
"FA031","planting.1",52
"FA031","planting.4",57
"FA032","planting.2",58
"FA032","planting.3",14
"FA032","planting.5",59
"FA032","planting.6",46
"FA032","planting.1",59
"FA032","planting.4",52
"FA033","planting.2",72
"FA033","planting.3",55
"FA033","planting.5",78
"FA033","planting.6",NA
"FA033","planting.1",70
"FA033","planting.4",64
"FA035","planting.2",58
"FA035","planting.3",49
"FA035","planting.5",66
"FA035","planting.6",46
"FA035","planting.1",52
"FA035","planting.4",45
"FA036","planting.2",65
"FA036","planting.3",49
"FA036","planting.5",66
"FA036","planting.6",60
"FA036","planting.1",70
"FA036","planting.4",57
"FA037","planting.2",51
"FA037","planting.3",35
"FA037","planting.5",59
"FA037","planting.6",46
"FA037","planting.1",59
"FA037","planting.4",57
"FA038","planting.2",51
"FA038","planting.3",14
"FA038","planting.5",59
"FA038","planting.6",39
"FA038","planting.1",52
"FA038","planting.4",45
"FA039","planting.2",65
"FA039","planting.3",49
"FA039","planting.5",NA
"FA039","planting.6",60
"FA039","planting.1",59
"FA039","planting.4",57
"FA042","planting.2",65
"FA042","planting.3",49
"FA042","planting.5",66
"FA042","planting.6",60
"FA042","planting.1",59
"FA042","planting.4",57
"FA045","planting.2",65
"FA045","planting.3",42
"FA045","planting.5",66
"FA045","planting.6",46
"FA045","planting.1",52
"FA045","planting.4",45
"FA046","planting.2",58
"FA046","planting.3",42
"FA046","planting.5",59
"FA046","planting.6",53
"FA046","planting.1",59
"FA046","planting.4",52
"FA047","planting.2",65
"FA047","planting.3",49
"FA047","planting.5",73
"FA047","planting.6",NA
"FA047","planting.1",59
"FA047","planting.4",52
"FA048","planting.2",58
"FA048","planting.3",42
"FA048","planting.5",66
"FA048","planting.6",53
"FA048","planting.1",59
"FA048","planting.4",57
"FA049","planting.2",51
"FA049","planting.3",28
"FA049","planting.5",59
"FA049","planting.6",39
"FA049","planting.1",52
"FA049","planting.4",38
"FA050","planting.2",58
"FA050","planting.3",49
"FA050","planting.5",59
"FA050","planting.6",NA
"FA050","planting.1",59
"FA050","planting.4",57
"FA051","planting.2",51
"FA051","planting.3",35
"FA051","planting.5",45
"FA051","planting.6",32
"FA051","planting.1",NA
