id,Planting,planting_group,ft,Start_Date,End_Date,time1,time2,censored
FA002,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA002,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA002,Planting 5,Normal,52,2024-12-03,2025-02-21,45,52,0
FA002,Planting 6,Late,32,2025-04-14,2025-06-09,25,32,0
FA002,Planting 1,Early,NA,2023-09-08,2023-11-10,63,Inf,1
FA002,Planting 4,Early,NA,2024-09-17,2024-11-22,63,Inf,1
FA003,Planting 2,Normal,NA,2023-12-06,2024-02-16,70,Inf,1
FA003,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA003,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA003,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA003,Planting 1,Early,59,2023-09-08,2023-11-10,52,59,0
FA003,Planting 4,Early,52,2024-09-17,2024-11-22,45,52,0
FA004,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA004,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA004,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA004,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA004,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA004,Planting 4,Early,57,2024-09-17,2024-11-22,50,57,0
FA005,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA005,Planting 3,Late,35,2024-03-15,2024-05-02,28,35,0
FA005,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA005,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA005,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA005,Planting 4,Early,45,2024-09-17,2024-11-22,38,45,0
FA007,Planting 2,Normal,58,2023-12-06,2024-02-16,51,58,0
FA007,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA007,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA007,Planting 6,Late,46,2025-04-14,2025-06-09,39,46,0
FA007,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA007,Planting 4,Early,45,2024-09-17,2024-11-22,38,45,0
FA009,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA009,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA009,Planting 5,Normal,45,2024-12-03,2025-02-21,38,45,0
FA009,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA009,Planting 1,Early,59,2023-09-08,2023-11-10,52,59,0
FA009,Planting 4,Early,NA,2024-09-17,2024-11-22,63,Inf,1
FA011,Planting 2,Normal,58,2023-12-06,2024-02-16,51,58,0
FA011,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA011,Planting 5,Normal,45,2024-12-03,2025-02-21,38,45,0
FA011,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA011,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA011,Planting 4,Early,45,2024-09-17,2024-11-22,38,45,0
FA014,Planting 2,Normal,NA,2023-12-06,2024-02-16,70,Inf,1
FA014,Planting 3,Late,NA,2024-03-15,2024-05-02,42,Inf,1
FA014,Planting 5,Normal,38,2024-12-03,2025-02-21,31,38,0
FA014,Planting 6,Late,NA,2025-04-14,2025-06-09,56,Inf,1
FA014,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA014,Planting 4,Early,38,2024-09-17,2024-11-22,31,38,0
FA016,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA016,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA016,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA016,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA016,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA016,Planting 4,Early,38,2024-09-17,2024-11-22,31,38,0
FA017,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA017,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA017,Planting 5,Normal,38,2024-12-03,2025-02-21,31,38,0
FA017,Planting 6,Late,NA,2025-04-14,2025-06-09,56,Inf,1
FA017,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA017,Planting 4,Early,38,2024-09-17,2024-11-22,31,38,0
FA019,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA019,Planting 3,Late,NA,2024-03-15,2024-05-02,42,Inf,1
FA019,Planting 5,Normal,38,2024-12-03,2025-02-21,31,38,0
FA019,Planting 6,Late,32,2025-04-14,2025-06-09,25,32,0
FA019,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA019,Planting 4,Early,38,2024-09-17,2024-11-22,31,38,0
FA021,Planting 2,Normal,72,2023-12-06,2024-02-16,65,72,0
FA021,Planting 3,Late,55,2024-03-15,2024-05-02,48,55,0
FA021,Planting 5,Normal,78,2024-12-03,2025-02-21,71,78,0
FA021,Planting 6,Late,53,2025-04-14,2025-06-09,46,53,0
FA021,Planting 1,Early,70,2023-09-08,2023-11-10,63,70,0
FA021,Planting 4,Early,57,2024-09-17,2024-11-22,50,57,0
FA027,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA027,Planting 3,Late,42,2024-03-15,2024-05-02,35,42,0
FA027,Planting 5,Normal,66,2024-12-03,2025-02-21,59,66,0
FA027,Planting 6,Late,NA,2025-04-14,2025-06-09,56,Inf,1
FA027,Planting 1,Early,70,2023-09-08,2023-11-10,63,70,0
FA027,Planting 4,Early,64,2024-09-17,2024-11-22,57,64,0
FA028,Planting 2,Normal,43,2023-12-06,2024-02-16,36,43,0
FA028,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA028,Planting 5,Normal,38,2024-12-03,2025-02-21,31,38,0
FA028,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA028,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA028,Planting 4,Early,45,2024-09-17,2024-11-22,38,45,0
FA031,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA031,Planting 3,Late,35,2024-03-15,2024-05-02,28,35,0
FA031,Planting 5,Normal,52,2024-12-03,2025-02-21,45,52,0
FA031,Planting 6,Late,46,2025-04-14,2025-06-09,39,46,0
FA031,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA031,Planting 4,Early,57,2024-09-17,2024-11-22,50,57,0
FA032,Planting 2,Normal,58,2023-12-06,2024-02-16,51,58,0
FA032,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA032,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA032,Planting 6,Late,46,2025-04-14,2025-06-09,39,46,0
FA032,Planting 1,Early,59,2023-09-08,2023-11-10,52,59,0
FA032,Planting 4,Early,52,2024-09-17,2024-11-22,45,52,0
FA033,Planting 2,Normal,72,2023-12-06,2024-02-16,65,72,0
FA033,Planting 3,Late,55,2024-03-15,2024-05-02,48,55,0
FA033,Planting 5,Normal,78,2024-12-03,2025-02-21,71,78,0
FA033,Planting 6,Late,NA,2025-04-14,2025-06-09,56,Inf,1
FA033,Planting 1,Early,70,2023-09-08,2023-11-10,63,70,0
FA033,Planting 4,Early,64,2024-09-17,2024-11-22,57,64,0
FA035,Planting 2,Normal,58,2023-12-06,2024-02-16,51,58,0
FA035,Planting 3,Late,49,2024-03-15,2024-05-02,42,49,0
FA035,Planting 5,Normal,66,2024-12-03,2025-02-21,59,66,0
FA035,Planting 6,Late,46,2025-04-14,2025-06-09,39,46,0
FA035,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
FA035,Planting 4,Early,45,2024-09-17,2024-11-22,38,45,0
FA036,Planting 2,Normal,65,2023-12-06,2024-02-16,58,65,0
FA036,Planting 3,Late,49,2024-03-15,2024-05-02,42,49,0
FA036,Planting 5,Normal,66,2024-12-03,2025-02-21,59,66,0
FA036,Planting 6,Late,60,2025-04-14,2025-06-09,53,60,0
FA036,Planting 1,Early,70,2023-09-08,2023-11-10,63,70,0
FA036,Planting 4,Early,57,2024-09-17,2024-11-22,50,57,0
FA037,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA037,Planting 3,Late,35,2024-03-15,2024-05-02,28,35,0
FA037,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA037,Planting 6,Late,46,2025-04-14,2025-06-09,39,46,0
FA037,Planting 1,Early,59,2023-09-08,2023-11-10,52,59,0
FA037,Planting 4,Early,57,2024-09-17,2024-11-22,50,57,0
FA038,Planting 2,Normal,51,2023-12-06,2024-02-16,44,51,0
FA038,Planting 3,Late,14,2024-03-15,2024-05-02,7,14,0
FA038,Planting 5,Normal,59,2024-12-03,2025-02-21,52,59,0
FA038,Planting 6,Late,39,2025-04-14,2025-06-09,32,39,0
FA038,Planting 1,Early,52,2023-09-08,2023-11-10,45,52,0
