Period,srad,year,doy,tmx,tmn
2011-03-25,22.9,2011,84,28.0,12.0
2011-03-26,17.5,2011,85,28.9,8.5
2011-03-27,20.0,2011,86,30.8,13.5
2011-03-28,1.9,2011,87,22.3,18.3
2011-03-29,8.3,2011,88,23.3,15.3
2011-03-30,5.9,2011,89,26.2,17.4
2011-03-31,3.8,2011,90,22.7,16.2
2011-04-01,24.0,2011,91,24.3,11.1
2011-04-02,21.3,2011,92,28.3,11.1
2011-04-03,24.0,2011,93,28.6,12.3
2011-04-04,20.6,2011,94,31.3,13.3
2011-04-05,11.1,2011,95,22.9,7.6
2011-04-06,25.2,2011,96,24.3,4.6
2011-04-07,19.3,2011,97,28.7,10.6
2011-04-08,19.5,2011,98,31.1,14.8
2011-04-09,22.6,2011,99,31.6,16.6
2011-04-10,23.9,2011,100,32.0,15.9
2011-04-11,22.5,2011,101,32.5,16.0
2011-04-12,14.7,2011,102,28.2,16.9
2011-04-13,25.5,2011,103,28.2,12.1
2011-04-14,23.7,2011,104,29.4,9.5
2011-04-15,16.8,2011,105,29.6,13.7
2011-04-16,21.9,2011,106,30.5,17.7
2011-04-17,25.6,2011,107,27.2,13.3
2011-04-18,24.5,2011,108,30.7,9.9
2011-04-19,22.4,2011,109,33.4,15.0
2011-04-20,17.0,2011,110,32.3,16.1
2011-04-21,33.7,2011,111,31.6,16.7
2011-04-22,24.4,2011,112,31.7,16.5
2011-04-23,24.4,2011,113,31.4,15.6
2011-04-24,19.5,2011,114,31.2,17.4
2011-04-25,23.5,2011,115,32.0,16.6
2011-04-26,19.7,2011,116,32.1,18.8
2011-04-27,16.6,2011,117,33.9,19.2
2011-04-28,16.4,2011,118,32.9,20.7
2011-04-29,26.4,2011,119,28.2,13.8
2011-04-30,26.1,2011,120,30.4,10.2
2011-05-01,25.5,2011,121,30.7,13.6
2011-05-02,23.9,2011,122,31.9,15.1
2011-05-03,23.3,2011,123,32.4,17.0
2011-05-04,20.9,2011,124,27.6,17.2
2011-05-05,24.6,2011,125,28.2,12.0
2011-05-06,16.4,2011,126,28.4,14.7
2011-05-07,26.4,2011,127,29.3,11.8
2011-05-08,26.1,2011,128,31.7,12.2
2011-05-09,23.1,2011,129,33.3,19.1
2011-05-10,22.1,2011,130,34.1,18.2
2011-05-11,23.9,2011,131,34.1,20.0
2011-05-12,22.2,2011,132,35.4,17.9
2011-05-13,23.4,2011,133,34.3,20.1
2011-05-14,10.9,2011,134,30.6,19.2
2011-05-15,24.0,2011,135,26.5,16.4
2011-05-16,24.1,2011,136,25.1,13.9
2011-05-17,22.3,2011,137,23.9,12.6
2011-05-18,27.3,2011,138,27.0,12.5
2011-05-19,26.7,2011,139,31.4,11.8
2011-05-20,25.9,2011,140,34.1,16.3
2011-05-21,25.4,2011,141,34.4,17.5
2011-05-22,24.3,2011,142,35.6,17.0
2011-05-23,24.2,2011,143,35.4,19.3
2011-05-24,23.2,2011,144,35.4,21.0
2011-05-25,24.3,2011,145,35.7,16.1
2011-05-26,23.8,2011,146,34.0,17.9
2011-05-27,20.9,2011,147,32.9,20.4
2011-05-28,25.8,2011,148,35.1,18.9
2011-05-29,20.8,2011,149,34.4,19.9
2011-05-30,25.1,2011,150,33.4,18.8
2011-05-31,24.9,2011,151,34.2,19.0
2011-06-01,15.3,2011,152,34.0,19.6
2011-06-02,24.6,2011,153,33.9,18.0
2011-06-03,25.9,2011,154,35.1,17.6
2011-06-04,22.8,2011,155,35.4,19.0
2011-06-05,25.5,2011,156,35.9,18.6
2011-06-06,14.1,2011,157,36.5,22.2
2011-06-07,19.0,2011,158,32.7,20.6
2011-06-08,22.3,2011,159,32.7,19.5
2011-06-09,21.9,2011,160,33.3,16.2
2011-06-10,22.6,2011,161,33.7,18.9
2011-06-11,22.7,2011,162,34.3,19.2
2011-06-12,17.9,2011,163,35.8,21.2
2011-06-13,10.7,2011,164,34.6,21.6
2011-06-14,20.9,2011,165,36.7,21.0
2011-06-15,21.8,2011,166,38.5,20.3
2011-06-16,22.7,2011,167,34.2,20.3
2011-06-17,19.4,2011,168,34.3,23.2
2011-06-18,19.4,2011,169,33.8,21.6
2011-06-19,21.8,2011,170,35.1,21.5
2011-06-20,20.5,2011,171,36.0,21.2
2011-06-21,23.2,2011,172,37.6,22.6
2011-06-22,23.5,2011,173,37.2,21.6
2011-06-23,15.8,2011,174,34.8,22.7
2011-06-24,15.7,2011,175,33.6,21.8
2011-06-25,15.3,2011,176,33.1,22.1
2011-06-26,15.4,2011,177,31.3,21.7
2011-06-27,14.7,2011,178,31.7,22.5
2011-06-28,16.3,2011,179,31.7,21.9
2011-06-29,17.9,2011,180,32.2,21.2
2011-06-30,10.8,2011,181,28.6,22.9
2011-07-01,19.2,2011,182,33.8,22.1
2011-07-02,23.6,2011,183,33.3,20.9
