Period,relHum,srad,year,doy,tmx,tmn
2023-09-08,92,99.84,2023,251,29.0722222222222,19.4222222222222
2023-09-09,85,248.82,2023,252,32.7388888888889,18.0777777777778
2023-09-10,82,247.81,2023,253,34.5888888888889,20.65
2023-09-11,85,234.44,2023,254,33.9777777777778,20.0722222222222
2023-09-12,89,261.41,2023,255,34.1,20.9777777777778
2023-09-13,90,223.29,2023,256,33.6277777777778,22.2
2023-09-14,88,211.89,2023,257,33.2111111111111,21.7722222222222
2023-09-15,87,238.59,2023,258,32.2222222222222,22.8222222222222
2023-09-16,82,224.36,2023,259,31.3277777777778,21.4888888888889
2023-09-17,82,228.91,2023,260,33.9722222222222,21.5611111111111
2023-09-18,80,253.84,2023,261,31.7611111111111,18.9222222222222
2023-09-19,79,243.99,2023,262,30.8277777777778,16.35
2023-09-20,82,233.05,2023,263,32.55,18.6111111111111
2023-09-21,83,221.67,2023,264,31.6722222222222,20.4111111111111
2023-09-22,80,249.66,2023,265,29.6277777777778,16.4777777777778
2023-09-23,76,274.31,2023,266,30.8,13.9777777777778
2023-09-24,76,239.01,2023,267,32.4722222222222,13.5388888888889
2023-09-25,86,170.46,2023,268,31.7388888888889,16.6777777777778
2023-09-26,89,178.78,2023,269,33.5722222222222,20.3777777777778
2023-09-27,94,114.29,2023,270,30.8388888888889,22.0388888888889
2023-09-28,97,60.38,2023,271,24.2388888888889,21.55
2023-09-29,92,99.51,2023,272,28.8222222222222,21.7277777777778
2023-09-30,93,68.19,2023,273,27.3388888888889,22.6777777777778
2023-10-01,89,91.67,2023,274,28.5777777777778,22.3222222222222
2023-10-02,83,192.74,2023,275,29.6777777777778,21.8
2023-10-03,82,210.73,2023,276,30.45,18.75
2023-10-04,85,232.43,2023,277,30.7277777777778,19.5277777777778
2023-10-05,86,211.07,2023,278,31.3611111111111,18.2722222222222
2023-10-06,88,168.14,2023,279,31.1777777777778,19.9888888888889
2023-10-07,79,187.22,2023,280,30.9722222222222,19.55
2023-10-08,70,167.31,2023,281,24.9777777777778,13.3388888888889
2023-10-09,73,171.85,2023,282,25.7111111111111,11.7722222222222
2023-10-10,80,235.51,2023,283,29.0111111111111,10.25
2023-10-11,87,59.36,2023,284,27.9611111111111,17.2611111111111
2023-10-12,95,61.13,2023,285,30.7888888888889,22.4888888888889
2023-10-13,90,178.62,2023,286,31.3111111111111,21.8888888888889
2023-10-14,86,132.74,2023,287,27.5111111111111,20.6
2023-10-15,78,237.11,2023,288,25.0222222222222,16.7222222222222
