Period,srad,year,doy,tmx,tmn
2012-05-17,10.0,2012,138,17.9,9.4
2012-05-18,22.9,2012,139,23.6,7.8
2012-05-19,17.9,2012,140,25.7,5.4
2012-05-20,23.2,2012,141,32.1,13.8
2012-05-21,10.0,2012,142,20.9,11.4
2012-05-22,15.1,2012,143,20.2,7.1
2012-05-23,19.7,2012,144,17.8,3.7
2012-05-24,8.6,2012,145,18.2,7.9
2012-05-25,11.4,2012,146,24.9,12.8
2012-05-26,15.9,2012,147,17.0,10.0
2012-05-27,12.0,2012,148,11.7,5.5
2012-05-28,19.4,2012,149,16.0,2.5
2012-05-29,25.6,2012,150,22.9,6.4
2012-05-30,14.7,2012,151,20.3,7.2
2012-05-31,26.4,2012,152,27.6,6.2
2012-06-01,13.5,2012,153,28.1,12.5
2012-06-02,29.2,2012,154,30.2,13.6
2012-06-03,25.6,2012,155,31.7,13.2
2012-06-04,18.2,2012,156,29.3,15.3
2012-06-05,21.4,2012,157,33.0,18.8
2012-06-06,26.7,2012,158,30.1,17.3
2012-06-07,24.0,2012,159,33.5,17.0
2012-06-08,3.9,2012,160,23.6,14.1
2012-06-09,16.7,2012,161,17.5,8.5
2012-06-10,28.3,2012,162,22.5,6.7
2012-06-11,25.4,2012,163,24.1,13.1
2012-06-12,24.3,2012,164,27.4,15.9
2012-06-13,25.7,2012,165,29.2,14.4
2012-06-14,18.4,2012,166,23.6,13.2
2012-06-15,19.4,2012,167,29.1,11.5
2012-06-16,24.0,2012,168,28.3,16.2
2012-06-17,9.2,2012,169,20.4,13.5
2012-06-18,19.3,2012,170,23.2,14.5
2012-06-19,28.2,2012,171,25.5,12.6
2012-06-20,27.4,2012,172,26.8,11.3
2012-06-21,21.1,2012,173,28.6,16.6
2012-06-22,23.4,2012,174,25.5,14.5
2012-06-23,27.5,2012,175,27.0,12.3
2012-06-24,26.2,2012,176,28.6,18.9
2012-06-25,17.7,2012,177,31.2,13.8
2012-06-26,27.9,2012,178,30.6,12.7
2012-06-27,23.6,2012,179,31.4,13.5
2012-06-28,21.1,2012,180,30.6,13.5
2012-06-29,26.5,2012,181,34.5,18.2
2012-06-30,20.8,2012,182,34.8,21.9
2012-07-01,24.6,2012,183,33.3,20.0
2012-07-02,17.1,2012,184,33.2,21.4
2012-07-03,26.8,2012,185,30.6,12.6
2012-07-04,17.7,2012,186,23.8,17.5
2012-07-05,28.1,2012,187,30.4,15.1
2012-07-06,18.4,2012,188,29.1,16.1
2012-07-07,28.0,2012,189,30.8,13.3
2012-07-08,27.6,2012,190,32.0,14.5
2012-07-09,24.2,2012,191,33.5,17.2
2012-07-10,24.6,2012,192,31.7,19.3
2012-07-11,24.2,2012,193,31.8,17.8
2012-07-12,23.4,2012,194,33.3,18.6
2012-07-13,15.5,2012,195,32.3,21.3
2012-07-14,24.3,2012,196,32.0,19.4
2012-07-15,11.2,2012,197,27.5,19.4
2012-07-16,23.6,2012,198,30.4,18.9
2012-07-17,21.3,2012,199,34.0,17.0
2012-07-18,25.5,2012,200,37.9,21.0
2012-07-19,26.7,2012,201,31.4,17.5
2012-07-20,24.3,2012,202,36.9,18.1
2012-07-21,16.0,2012,203,26.4,17.5
2012-07-22,20.5,2012,204,31.8,17.1
2012-07-23,18.6,2012,205,32.9,15.6
2012-07-24,17.4,2012,206,26.3,14.4
2012-07-25,22.6,2012,207,28.2,12.6
2012-07-26,17.7,2012,208,31.1,12.6
2012-07-27,22.5,2012,209,32.2,16.5
2012-07-28,23.1,2012,210,31.1,16.6
2012-07-29,19.7,2012,211,32.0,14.0
2012-07-30,18.1,2012,212,30.0,16.8
2012-07-31,21.4,2012,213,30.1,12.9
2012-08-01,17.0,2012,214,31.9,18.3
2012-08-02,20.1,2012,215,25.7,10.4
2012-08-03,24.5,2012,216,28.3,5.8
2012-08-04,23.6,2012,217,34.7,11.9
2012-08-05,21.3,2012,218,28.9,12.7
2012-08-06,17.1,2012,219,26.9,17.2
2012-08-07,21.9,2012,220,23.5,13.9
2012-08-08,24.8,2012,221,25.6,9.8
2012-08-09,14.8,2012,222,24.2,10.0
2012-08-10,15.9,2012,223,26.6,15.3
2012-08-11,20.1,2012,224,26.9,11.8
2012-08-12,19.2,2012,225,26.3,9.3
2012-08-13,14.9,2012,226,28.3,14.3
2012-08-14,23.9,2012,227,22.1,8.5
2012-08-15,23.3,2012,228,26.6,4.7
2012-08-16,19.7,2012,229,28.4,7.0
2012-08-17,22.8,2012,230,25.0,9.4
2012-08-18,23.0,2012,231,27.3,5.9
2012-08-19,22.2,2012,232,30.6,7.5
2012-08-20,21.3,2012,233,33.2,12.0
2012-08-21,21.3,2012,234,33.2,12.7
2012-08-22,19.4,2012,235,35.8,14.2
2012-08-23,19.1,2012,236,26.8,10.5
2012-08-24,21.2,2012,237,28.9,9.2
