Period,srad,year,doy,tmx,tmn
2011-11-12,17.8,2011,316,28.8,18.5
2011-11-13,12.5,2011,317,25.8,21.0
2011-11-12,13.5,2011,316,27.2,18.0
2011-11-13,19.9,2011,317,30.3,19.0
2011-11-14,16.8,2011,318,29.6,20.0
2011-11-15,13.2,2011,319,28.3,19.5
2011-11-16,14.1,2011,320,28.8,19.0
2011-11-17,16.5,2011,321,29.4,19.5
2011-11-18,17.5,2011,322,29.4,19.5
2011-11-19,13.8,2011,323,28.6,19.0
2011-11-20,13.8,2011,324,28.9,18.9
2011-11-21,15.0,2011,325,28.5,17.7
2011-11-22,18.6,2011,326,29.8,19.2
2011-11-23,11.4,2011,327,27.0,18.9
2011-11-24,16.9,2011,328,29.8,17.4
2011-11-25,18.0,2011,329,30.4,20.0
2011-11-26,16.1,2011,330,29.1,19.9
2011-11-27,11.5,2011,331,28.6,20.0
2011-11-28,10.4,2011,332,26.4,19.4
2011-11-29,14.2,2011,333,29.1,19.0
2011-11-30,12.8,2011,334,28.7,19.7
2011-12-01,10.1,2011,335,25.6,19.7
2011-12-02,15.1,2011,336,28.7,18.8
2011-12-03,15.9,2011,337,29.0,19.0
2011-12-04,13.7,2011,338,28.1,19.6
2011-12-05,12.5,2011,339,27.8,19.1
2011-12-06,11.4,2011,340,27.1,19.4
2011-12-07,13.3,2011,341,28.1,18.8
2011-12-08,17.7,2011,342,29.5,18.8
2011-12-09,15.3,2011,343,29.8,19.2
2011-12-10,15.3,2011,344,29.4,19.6
2011-12-11,16.1,2011,345,27.4,19.6
2011-12-12,10.8,2011,346,27.1,19.4
2011-12-13,9.2,2011,347,24.4,20.0
2011-12-14,8.2,2011,348,25.1,19.9
2011-12-15,9.0,2011,349,24.1,18.8
2011-12-16,13.9,2011,350,27.7,19.2
2011-12-17,11.0,2011,351,26.6,19.4
2011-12-18,8.9,2011,352,24.9,19.8
2011-12-19,13.5,2011,353,29.9,19.9
2011-12-20,7.1,2011,354,26.9,20.0
2011-12-21,17.8,2011,355,30.8,19.9
2011-12-22,16.4,2011,356,30.4,19.0
2011-12-23,10.3,2011,357,29.4,21.3
2011-12-24,19.6,2011,358,30.3,19.8
2011-12-25,18.7,2011,359,30.1,19.8
2011-12-26,18.5,2011,360,30.4,20.0
2011-12-27,18.4,2011,361,30.6,21.0
2011-12-28,18.3,2011,362,31.6,20.1
2011-12-29,15.5,2011,363,29.6,20.0
2011-12-30,17.2,2011,364,31.0,19.7
2011-12-31,18.0,2011,365,31.9,19.5
2012-01-01,7.6,2012,1,25.8,20.0
2012-01-02,16.4,2012,2,29.6,19.8
2012-01-03,16.9,2012,3,28.7,19.4
2012-01-04,17.0,2012,4,29.0,19.0
2012-01-05,17.2,2012,5,28.8,19.5
2012-01-06,17.4,2012,6,28.6,19.5
2012-01-07,13.1,2012,7,28.1,19.5
2012-01-08,18.3,2012,8,31.3,19.6
2012-01-09,7.6,2012,9,30.4,20.5
2012-01-10,15.6,2012,10,31.0,20.4
2012-01-11,13.5,2012,11,30.8,20.2
2012-01-12,11.0,2012,12,29.1,21.0
2012-01-13,14.7,2012,13,30.8,19.9
2012-01-14,19.0,2012,14,30.0,19.8
2012-01-15,18.1,2012,15,30.6,19.3
2012-01-16,17.6,2012,16,29.6,18.8
2012-01-17,14.4,2012,17,27.6,18.1
2012-01-18,17.3,2012,18,29.7,18.3
2012-01-19,14.9,2012,19,28.3,20.1
2012-01-20,16.1,2012,20,29.5,19.8
2012-01-21,12.7,2012,21,28.3,19.6
2012-01-22,20.2,2012,22,29.1,19.2
2012-01-23,8.6,2012,23,25.4,18.6
2012-01-24,20.7,2012,24,29.6,18.2
2012-01-25,18.0,2012,25,29.6,19.1
2012-01-26,18.0,2012,26,29.6,19.7
2012-01-27,18.8,2012,27,30.8,19.7
2012-01-28,18.1,2012,28,30.3,19.7
2012-01-29,15.1,2012,29,28.3,18.4
2012-01-30,13.4,2012,30,29.1,19.7
2012-01-31,17.7,2012,31,30.2,19.4
2012-02-01,17.0,2012,32,30.1,19.8
2012-02-02,14.1,2012,33,30.3,20.1
2012-02-03,17.3,2012,34,30.9,20.9
2012-02-04,10.0,2012,35,26.8,20.1
2012-02-05,7.5,2012,36,25.6,20.6
2012-02-06,13.8,2012,37,30.2,18.6
2012-02-07,4.8,2012,38,24.6,19.0
2012-02-08,17.1,2012,39,30.1,18.4
2012-02-09,11.4,2012,40,28.7,19.7
2012-02-10,12.4,2012,41,27.2,20.0
2012-02-11,15.2,2012,42,29.3,19.9
2012-02-12,16.3,2012,43,29.8,19.0
2012-02-13,16.1,2012,44,30.4,19.4
2012-02-14,19.8,2012,45,29.9,19.6
2012-02-15,15.2,2012,46,29.7,19.7
2012-02-16,19.1,2012,47,30.2,19.7
2012-02-17,14.7,2012,48,29.1,19.8
