Period,srad,year,doy,tmx,tmn
2012-03-23,15.4,2012,83,23.4,14.5
2012-03-24,18.5,2012,84,24.9,15.1
2012-03-25,12.1,2012,85,26.2,16.5
2012-03-26,12.1,2012,86,23.5,14.7
2012-03-27,15.6,2012,87,22.9,13.8
2012-03-28,12.9,2012,88,25.8,15.6
2012-03-29,10.1,2012,89,24.2,14.3
2012-03-30,12.5,2012,90,23.8,12.9
2012-03-31,13.8,2012,91,25.1,15.1
2012-04-01,16.8,2012,92,22.8,13.8
2012-04-02,17.6,2012,93,25.1,14.7
2012-04-03,23.6,2012,94,26.8,16.9
2012-04-04,13.2,2012,95,22.4,12.8
2012-04-05,20.8,2012,96,23.8,14.2
2012-04-06,11.8,2012,97,24.7,15.1
2012-04-07,15.4,2012,98,22.9,12.9
2012-04-08,18.5,2012,99,24.3,13.6
2012-04-09,12.1,2012,100,26.4,15.3
2012-04-10,12.1,2012,101,24.1,13.8
2012-04-11,15.6,2012,102,23.8,12.9
2012-04-12,17.2,2012,103,24.5,14.9
2012-04-13,16.9,2012,104,25.0,14.4
2012-04-14,19.0,2012,105,26.2,12.9
2012-04-15,15.9,2012,106,24.7,14.1
2012-04-16,16.5,2012,107,25.4,14.0
2012-04-17,15.6,2012,108,24.3,14.0
2012-04-18,12.9,2012,109,23.7,14.5
2012-04-19,10.1,2012,110,24.0,13.4
2012-04-20,12.5,2012,111,27.0,14.8
2012-04-21,13.8,2012,112,23.5,13.0
2012-04-22,16.8,2012,113,27.1,10.4
2012-04-23,17.6,2012,114,24.0,14.8
2012-04-24,23.6,2012,115,26.5,12.1
2012-04-25,13.2,2012,116,22.2,14.6
2012-04-26,20.8,2012,117,25.3,14.0
2012-04-27,9.5,2012,118,23.2,14.6
2012-04-28,16.2,2012,119,25.6,13.5
2012-04-29,11.5,2012,120,25.8,12.4
2012-04-30,15.8,2012,121,21.8,15.3
2012-05-01,12.8,2012,122,25.7,14.7
2012-05-02,11.8,2012,123,26.4,14.2
2012-05-03,15.4,2012,124,23.2,11.5
2012-05-04,18.5,2012,125,25.8,14.3
2012-05-05,12.1,2012,126,25.2,14.6
2012-05-06,12.1,2012,127,24.5,15.0
2012-05-07,12.2,2012,128,26.8,14.3
2012-05-08,13.5,2012,129,24.8,12.0
2012-05-09,21.3,2012,130,25.3,11.7
2012-05-10,14.7,2012,131,24.9,13.6
2012-05-11,17.7,2012,132,24.1,13.9
2012-05-12,13.2,2012,133,23.5,14.0
2012-05-13,14.1,2012,134,25.1,13.8
2012-05-14,12.5,2012,135,26.5,14.4
2012-05-15,13.4,2012,136,27.1,13.2
2012-05-16,18.2,2012,137,26.1,13.6
2012-05-17,15.3,2012,138,26.8,13.0
2012-05-18,14.1,2012,139,22.1,14.8
2012-05-19,15.5,2012,140,23.5,13.0
2012-05-20,10.9,2012,141,23.7,14.0
2012-05-21,9.7,2012,142,25.4,13.3
2012-05-22,11.6,2012,143,26.2,11.9
2012-05-23,14.5,2012,144,26.6,11.4
2012-05-24,18.2,2012,145,24.4,12.4
2012-05-25,14.8,2012,146,25.6,14.2
2012-05-26,14.0,2012,147,29.5,11.2
2012-05-27,14.6,2012,148,26.5,12.9
2012-05-28,20.3,2012,149,26.2,13.1
2012-05-29,12.9,2012,150,27.6,10.5
2012-05-30,16.0,2012,151,28.3,11.0
2012-05-31,18.1,2012,152,26.7,12.4
2012-06-01,15.6,2012,153,27.9,13.3
2012-06-02,15.4,2012,154,25.5,13.0
2012-06-03,18.9,2012,155,27.8,12.0
2012-06-04,16.8,2012,156,26.8,13.7
2012-06-05,15.8,2012,157,28.7,10.8
2012-06-06,18.7,2012,158,30.5,11.7
2012-06-07,18.3,2012,159,28.7,12.4
2012-06-08,21.9,2012,160,26.8,12.0
2012-06-09,18.3,2012,161,27.0,13.6
2012-06-10,14.4,2012,162,26.4,12.1
2012-06-11,15.1,2012,163,26.3,11.3
2012-06-12,14.5,2012,164,27.2,13.8
2012-06-13,14.8,2012,165,24.4,15.1
2012-06-14,16.0,2012,166,26.0,12.5
2012-06-15,13.0,2012,167,24.6,13.2
2012-06-16,19.7,2012,168,28.0,12.2
2012-06-17,15.4,2012,169,27.8,13.3
2012-06-18,16.4,2012,170,26.8,12.5
2012-06-19,17.9,2012,171,26.3,13.0
2012-06-20,17.2,2012,172,25.3,12.0
2012-06-21,17.5,2012,173,28.7,9.7
2012-06-22,12.3,2012,174,27.4,9.8
2012-06-23,21.6,2012,175,27.0,11.4
2012-06-24,13.7,2012,176,23.1,10.4
2012-06-25,17.6,2012,177,27.0,12.3
2012-06-26,11.6,2012,178,26.5,8.9
2012-06-27,17.8,2012,179,27.0,11.5
2012-06-28,18.0,2012,180,25.7,10.1
2012-06-29,17.1,2012,181,25.0,13.2
