Period,srad,year,doy,tmx,tmn
2012-02-07,14.1,2012,38,27.3,20.1
2012-02-08,17.6,2012,39,27.9,18.6
2012-02-09,17.3,2012,40,28.4,20.1
2012-02-10,21.7,2012,41,28.2,17.9
2012-02-11,21.7,2012,42,29.4,18.7
2012-02-12,11.8,2012,43,27.8,18.7
2012-02-13,13.8,2012,44,25.9,21.4
2012-02-14,20.7,2012,45,26.8,20.5
2012-02-15,19.1,2012,46,26.7,21.2
2012-02-16,19.5,2012,47,26.8,20.4
2012-02-17,21.9,2012,48,27.7,18.5
2012-02-18,18.0,2012,49,28.0,19.3
2012-02-19,22.7,2012,50,28.3,16.8
2012-02-20,22.6,2012,51,27.8,17.3
2012-02-21,24.4,2012,52,28.4,20.7
2012-02-22,23.1,2012,53,28.6,21.2
2012-02-23,19.7,2012,54,28.1,21.1
2012-02-24,23.3,2012,55,28.8,19.5
2012-02-25,21.8,2012,56,28.0,20.7
2012-02-26,18.5,2012,57,27.4,20.3
2012-02-27,14.5,2012,58,27.6,20.3
2012-02-28,25.1,2012,59,27.6,20.2
2012-02-29,19.4,2012,60,27.8,19.3
2012-03-01,24.8,2012,61,28.5,19.7
2012-03-02,22.4,2012,62,28.8,21.4
2012-03-03,22.5,2012,63,30.1,19.2
2012-03-04,20.2,2012,64,29.5,19.9
2012-03-05,23.0,2012,65,28.5,19.9
2012-03-06,16.6,2012,66,26.7,20.3
2012-03-07,23.5,2012,67,27.7,20.3
2012-03-08,25.3,2012,68,28.6,19.9
2012-03-09,25.5,2012,69,30.6,18.2
2012-03-10,26.3,2012,70,28.9,19.3
2012-03-11,15.8,2012,71,27.1,20.7
2012-03-12,26.2,2012,72,28.1,18.2
2012-03-13,22.9,2012,73,28.7,20.6
2012-03-14,24.0,2012,74,28.1,20.2
2012-03-15,24.6,2012,75,29.9,20.1
2012-03-16,24.9,2012,76,29.6,19.2
2012-03-17,24.4,2012,77,30.1,19.1
2012-03-18,27.0,2012,78,30.2,19.4
2012-03-19,25.1,2012,79,29.6,19.0
2012-03-20,27.7,2012,80,28.1,19.7
2012-03-21,21.4,2012,81,26.8,20.4
2012-03-22,19.0,2012,82,26.9,19.9
2012-03-23,18.5,2012,83,27.8,20.4
2012-03-24,19.0,2012,84,27.8,20.8
2012-03-25,22.9,2012,85,30.9,19.4
2012-03-26,22.8,2012,86,30.5,20.9
2012-03-27,15.1,2012,87,27.3,21.5
2012-03-28,17.6,2012,88,27.7,20.8
2012-03-29,22.0,2012,89,28.7,20.3
2012-03-30,19.6,2012,90,29.2,20.9
2012-03-31,24.5,2012,91,30.5,19.1
2012-04-01,23.3,2012,92,31.3,19.6
2012-04-02,26.0,2012,93,31.4,21.6
2012-04-03,21.2,2012,94,30.3,19.8
2012-04-04,15.5,2012,95,29.7,21.2
2012-04-05,27.5,2012,96,30.6,19.5
2012-04-06,26.0,2012,97,30.4,19.7
2012-04-07,26.7,2012,98,30.2,20.1
2012-04-08,19.9,2012,99,29.2,21.0
2012-04-09,12.2,2012,100,30.3,19.4
2012-04-10,16.7,2012,101,29.9,19.2
2012-04-11,23.0,2012,102,30.4,20.2
2012-04-12,26.6,2012,103,30.9,21.1
2012-04-13,23.9,2012,104,25.1,21.4
2012-04-14,18.2,2012,105,27.2,21.8
2012-04-15,26.3,2012,106,27.4,20.5
2012-04-16,25.2,2012,107,28.9,19.9
2012-04-17,27.5,2012,108,28.1,19.4
2012-04-18,25.7,2012,109,28.4,18.0
2012-04-19,21.5,2012,110,29.6,20.0
2012-04-20,25.3,2012,111,29.9,20.4
2012-04-21,25.6,2012,112,31.1,20.8
2012-04-22,27.2,2012,113,31.1,21.1
2012-04-23,27.1,2012,114,31.7,21.2
2012-04-24,27.1,2012,115,30.8,21.8
2012-04-25,26.9,2012,116,29.2,21.7
2012-04-26,26.8,2012,117,29.5,22.9
2012-04-27,27.4,2012,118,29.3,21.8
2012-04-28,24.8,2012,119,30.7,20.8
2012-04-29,27.1,2012,120,29.6,22.4
2012-04-30,23.1,2012,121,29.4,22.3
2012-05-01,21.9,2012,122,29.2,22.9
2012-05-02,13.1,2012,123,29.2,22.5
2012-05-03,16.3,2012,124,30.3,21.4
2012-05-04,27.0,2012,125,30.0,20.7
2012-05-05,7.7,2012,126,29.1,22.3
2012-05-06,13.4,2012,127,29.1,20.6
2012-05-07,24.2,2012,128,30.6,21.5
2012-05-08,26.2,2012,129,30.7,21.9
2012-05-09,12.0,2012,130,31.2,21.4
2012-05-10,19.6,2012,131,30.7,21.6
2012-05-11,22.6,2012,132,30.7,21.8
2012-05-12,26.0,2012,133,31.7,22.2
2012-05-13,27.4,2012,134,30.6,22.1
2012-05-14,25.2,2012,135,30.2,22.3
2012-05-15,21.7,2012,136,30.7,21.7
2012-05-16,26.5,2012,137,30.8,21.7
